country_or_authority,register_page,link_text,feed_url
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,https://severeweather.wmo.int/v2/cap-alerts/au-bom-en/rss.xml,https://severeweather.wmo.int/v2/cap-alerts/au-bom-en/rss.xml
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,https://bom.gov.au/,https://bom.gov.au/
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=6,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=7,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=8,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,https://feeds.meteoalarm.org/feeds/meteoalarm-legacy-atom-austria,https://feeds.meteoalarm.org/feeds/meteoalarm-legacy-atom-austria
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,https://feeds.meteoalarm.org/feeds/meteoalarm-legacy-atom-austria,https://feeds.meteoalarm.org/feeds/meteoalarm-legacy-atom-austria
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,http://worldweather.wmo.int/en/country.html?countryCode=6,http://worldweather.wmo.int/en/country.html?countryCode=6
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=9,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,http://www.worldweather.org/025/c00097.htm,http://www.worldweather.org/025/c00097.htm
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=10,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,https://cap-sources.s3.amazonaws.com/bh-meteo-ar/rss.xml,https://cap-sources.s3.amazonaws.com/bh-meteo-ar/rss.xml
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,https://cap-sources.s3.amazonaws.com/bh-meteo-en/rss.xml,https://cap-sources.s3.amazonaws.com/bh-meteo-en/rss.xml
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=11,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,http://www.worldweather.org/141/m141.htm,http://www.worldweather.org/141/m141.htm
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=12,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=13,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,https://brb-primary.capews.com/capews/public/atom?type=cap,https://brb-primary.capews.com/capews/public/atom?type=cap
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,http://www.barbadosweather.org,http://www.barbadosweather.org
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=14,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,https://meteoalert.meteoinfo.ru/belarus/cap-feed/ru/atom.xml,https://meteoalert.meteoinfo.ru/belarus/cap-feed/ru/atom.xml
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,https://meteoalert.meteoinfo.ru/belarus/cap-feed/en/atom.xml,https://meteoalert.meteoinfo.ru/belarus/cap-feed/en/atom.xml
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,http://www.worldweather.org/106/c00205.htm,http://www.worldweather.org/106/c00205.htm
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=15,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,HOME,https://public.wmo.int/en
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,WORLDWEATHER,https://worldweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,SEVERE WEATHER,https://severeweather.wmo.int
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,Public Weather Services,https://public.wmo.int/en/programmes/public-weather-services-programme
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,please contact us,https://public.wmo.int/en/about-us/contact-us
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,© World Meteorological Organization,https://old.wmo.int/extranet/pages/documents/wmo.vcf
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,Copyright,https://public.wmo.int/en/copyright
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,Privacy Policy,https://public.wmo.int/en/privacy-policy
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,Disclaimer,https://public.wmo.int/en/disclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=16,Map disclaimer,https://public.wmo.int/en/disclaimer#mapdisclaimer
WMO Register of Alerting Authorities,https://alertingauthority.wmo.int/authorities.php?recId=17,,https://public.wmo.int/en
